지역,교환,택배서비스,환불,신용카드단말기,POS 기기,인터넷쇼핑몰,온누리상품권,점포홈페이지,화장실,주차장,배송,장보기
서울,64.2,53.8,55.6,97.6,16.4,12.7,83.3,15.1,91.5,65.7,18.4,6.0
부산,55.8,11.8,42.3,79.0,3.6,1.8,78.4,0.1,91.6,61.1,4.2,1.8
대구,68.8,42.9,67.4,81.8,3.0,1.6,92.4,0.8,96.8,77.9,1.1,1.1
인천,62.9,23.8,59.5,95.3,9.5,1.1,48.4,1.5,94.7,86.8,18.4,5.3
광주,99.1,24.9,99.0,76.7,3.9,0.4,73.6,1.0,91.3,95.7,8.7,0.0
대전,66.9,6.5,61.7,97.6,13.4,1.3,76.7,2.4,96.3,88.9,0.0,0.0
울산,51.5,18.3,40.4,65.2,9.7,0.5,86.9,0.3,100.0,73.0,8.1,2.7
세종,53.1,28.1,50.9,96.6,45.4,2.0,58.7,6.0,100.0,100.0,0.0,0.0
경기,66.1,18.9,59.1,95.4,25.6,2.1,73.1,3.5,90.8,86.2,6.9,1.5
강원,62.7,35.7,57.3,91.8,6.4,2.7,71.7,2.1,100.0,96.4,3.6,0.0
충북,54.6,8.5,54.6,98.4,11.2,1.3,93.6,0.3,95.7,93.5,21.7,8.7
충남,71.0,12.2,71.5,98.0,44.1,0.3,97.1,0.4,98.0,92.2,7.8,5.9
전북,88.2,5.6,86.0,84.2,8.2,0.2,68.7,0.0,100.0,98.1,18.5,13.0
전남,90.1,18.8,88.9,77.8,4.2,1.3,56.4,0.5,100.0,97.6,0.0,0.0
경북,55.6,7.0,47.7,67.1,9.5,0.8,71.7,0.4,99.2,95.3,9.4,1.6
경남,53.0,11.0,44.8,71.5,3.1,0.9,81.0,0.2,98.0,90.5,1.4,0.7
제주,69.3,29.2,61.7,62.0,1.9,1.8,97.2,1.1,100.0,95.5,9.1,0.0
